rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
3079,Anxious and cross when one deemed good displaces king (6),ANGSTY,Anxious,23a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3080,Snow yet to return (4),NEVE,Snow,24a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3081,"Show fear, weeping — no yen, little energy (6)",CRINGE,Show fear,27a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3082,Senior not all trainees wanted (4),AINE,Senior,28a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3083,Darling husband taken into a shop (7),ASTHORE,Darling,29a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3084,Troubled ass — indicator reveals disease caused by worms (12),DRACONTIASIS,disease caused by worms,30a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3085,Municipal officer beginning to cheer in call for round of drinks (6),SCHOUT,Municipal officer,31a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3086,Something that cat sat on tot sits on (6),SUMMAT,Something,32a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3087,Plant with insect gathering prime bit of nectar repeatedly (5),BENNE,Plant,1d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3088,"A container, yours, decorated with a prickly plant (9)",ACANTHINE,decorated with a prickly plant,2d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3089,Limited number with a skill in the time of the Flood (7),NOACHIC,in the time of the Flood,3d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3090,Jock’s occasional place of retreat with interior design (6),DAIMEN,Jock’s occasional,4d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3091,"Being received inadequately, weep as of old (6)",GREETE,weep as of old,5d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3092,When a river makes more than one bank (4),ASAR,more than one bank,6d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3093,"Antelope, one seen in Netherlands and part of Germany once (6)",NILGAU,Antelope,7d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3094,Shrub no longer easy for the female to accommodate (7),HEATHER,Shrub,8d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3095,Hunger after salmon in a traditional Scottish dish (8),PARRITCH,a traditional Scottish dish,11d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3096,"Chance going round avenue you’ll see insect captured (8, two words)",SLAVE ANT,insect captured,12d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3097,Plant I found in cave here unexpectedly (9),ECHEVERIA,Plant,15d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3098,"Old deer springs, keeping time, jumping up (7)",SPAYADS,Old deer,18d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3099,Material old-fashioned company’s given to poor actor (7),GINGHAM,Material,19d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3100,"This unfortunate woman, getting red, is harangued terribly (6)",AGUNAH,This unfortunate woman,20d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3101,Heartless bloke to show great anger spinning round (6),GYRANT,spinning round,21d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3102,Unruly sort around island behaves rowdily (6),ROISTS,behaves rowdily,22d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3103,Sheep on street close by in Scotland (5),EWEST,close by in Scotland,25d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3104,After a brief time duck becomes dry (4),SECO,dry,26d,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3105,Get a posh carriage (6),LANDAU,carriage,1a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3106,"Fool getting married, can fool around (8)",MOONCALF,Fool,5a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3107,Rows of bays: car in reverse (10),COLONNADES,Rows of bays,9a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3108,A voice heard from chemical toilet (4),ALTO,A voice,10a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3109,Making MONEY (14),CAPITALISATION,Making MONEY,11a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3110,Prince right to chase record company (4),EMIR,Prince,12a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3111,Minister’s opportunity to turn round (10),CHANCELLOR,Minister,14a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3112,Cold egg sandwiches denounced by Scrooge? (10),CURMUDGEON,Scrooge?,16a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3113,Settles in French country (4),PAYS,Settles,18a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3114,Steeplechaser or show dog? (5-2-7),POINT-TO-POINTER,Steeplechaser/show dog,19a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3115,"I will leave worship, being brave (4)",DEFY,brave,22a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3116,Thick black line crossed by angry audience (10),INEDUCABLE,Thick,23a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3117,"Trapped, can’t stay awake (8)",AMBUSHED,Trapped,24a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3118,Wet anorak put over companion (6),DRENCH,Wet,25a,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3119,A zone with oxygen and carbon after one without life(5),AZOIC,without life,2d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3120,Doctor's surgery sent over theatre pipette (7),DROPPER,pipette,3d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3121,This version of 15 is not seen (9),UNNOTICED,not seen,4d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3122,"Form-filling associated with the pre-60s? (6-3,6)",MIDDLE-AGE SPREAD,Form-filling associated with the pre-60s,5d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3123,Nothing the same in spring? (5),OASIS,spring,6d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3124,Gossip allowed to return property (7),CHATTEL,property,7d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3125,"Removal of stone in house cat, the last of many (9)",LITHOTOMY,Removal of stone,8d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3126,Gold only found in quiet tomb (9),MAUSOLEUM,tomb,13d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3127,"Went on fiddle, playing in duet (9)",CONTINUED,Went on,15d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3128,"Unearthed sheep, reportedly still? (4,3)",MIND YOU,still,17d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3129,"Despised something which blocks leak (3,4)",PET HATE,Despised something,18d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3130,What's visible if bottom of skirt’s lifted? (5),THIGH,What's visible if bottom of skirt’s lifted,20d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3131,"In church, priest remains (5)",RELIC,remains,21d,2018-04-01,Sunday Times 4791,https://times-xwd-times.livejournal.com/1918457.html,times_xwd_times
3132,Bad cough interrupts routine filming stage (5-3),ROUGH-CUT,filming stage,1a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3133,Understand fine party hasn’t finished (6),FATHOM,Understand,6a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3134,"First of two encyclopedia volumes, perhaps, is a tiny thing (4)",ATOM,a tiny thing,9a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3135,"Like a repaired bike, not to be junked? (10)",RECYCLABLE,not to be junked,10a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3136,"Letter is as translated, framed by punctuation (10)",COLOSSIANS,Letter,11a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3137,Delicacy of Japanese in not completing Bach piece (4),FUGU,Delicacy of Japanese,13a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3138,Short service to put on for old beast (8),MASTODON,old beast,14a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3139,One picked on numbers of Romans around mouth of Tiber (6),VICTIM,One picked on,16a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3140,Beetle an irritant — in saucepan once? (6),CHAFER,Beetle,18a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3141,"Right to stab second mate, so badly wounded? (8)",MORTALLY,badly wounded,20a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3142,Jacob’s wife spends hour going after fine jumper (4),FLEA,umper,22a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3143,Exploit chap I turned out of bed past time (10),MANIPULATE,Exploit,24a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3144,"Owt in old magazine? (4,6)",BACK NUMBER,old magazine,26a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3145,Lifesaver talking of one with knowledge (4),NOAH,Lifesaver,28a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3146,"Make fuss about hotel, whatever it is (6)",DOODAH - DO,whatever it is,29a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3147,"Unclear boundaries in this old people’s home? (4,4)",GREY AREA,Unclear boundaries,30a,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3148,Physician taking top off toothpaste to spread (9),OSTEOPATH,Physician,2d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3149,Ladies’ fingers up to making footwear (7),GUMBOOT,footwear,3d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3150,"Trousers, and how to hold them up? (5)",CORDS,Trousers,4d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3151,Minor physical problem: temperature very low? (3),TIC,Minor physical problem,5d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3152,Braves having to maintain graceful withdrawal (4-5),FACE-SAVER,graceful withdrawal,6d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3153,Trade is sort of light (7),TRAFFIC,Trade/sort of light,7d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3154,Camp belonging to prisoner? (5),OFLAG,Camp,8d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3155,Extra name in article about garden feature (7),AGNOMEN,Extra name,12d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3156,"College town having taken up jazz, tricky to hum (9)",DARTMOUTH,College town,15d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3157,"With misgivings, I seal newly dead within (3,2,4)",ILL AT EASE,With misgivings,17d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3158,Forced liquid into female put on stretcher (7),FRACKED,Forced liquid into,19d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3159,Strongman almost crushes worker in Olympic venue (7),ATLANTA,Olympic venue,21d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3160,"Personal life somewhat on the up, it’s plain (5)",LLANO,plain,23d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3161,Contract for sporting prize (5),PURSE,Contract/sporting prize,25d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3162,Sizeable British force on the ground (3),BIG,Sizeable,27d,2018-10-24,Times 27177,https://times-xwd-times.livejournal.com/2028798.html,times_xwd_times
3163,Physician became dictator's prisoner (5),MEDIC,Physician,1a,2018-12-28,Times Jumbo Cryptic 1354,https://times-xwd-times.livejournal.com/2063509.html,times_xwd_times
3164,"Do too little work and prepare to play, given the chance (10)",UNDERSTUDY,"prepare to play, given the chance",4a,2018-12-28,Times Jumbo Cryptic 1354,https://times-xwd-times.livejournal.com/2063509.html,times_xwd_times
3165,"Ran through party on purpose (4,2)",USED UP,Ran through,9a,2018-12-28,Times Jumbo Cryptic 1354,https://times-xwd-times.livejournal.com/2063509.html,times_xwd_times
3166,"As fruit, cut by length four times (9)",QUADRUPLE,four times,14a,2018-12-28,Times Jumbo Cryptic 1354,https://times-xwd-times.livejournal.com/2063509.html,times_xwd_times
3167,Is financing it in a new way not worth considering? (13),INSIGNIFICANT,not worth considering,15a,2018-12-28,Times Jumbo Cryptic 1354,https://times-xwd-times.livejournal.com/2063509.html,times_xwd_times
3168,"Confused report of more profound times (2,1,4)",IN A DAZE,Confused,16a,2018-12-28,Times Jumbo Cryptic 1354,https://times-xwd-times.livejournal.com/2063509.html,times_xwd_times
3169,Holes in long-haul craft (9),SPACESHIP,long-haul craft,17a,2018-12-28,Times Jumbo Cryptic 1354,https://times-xwd-times.livejournal.com/2063509.html,times_xwd_times
3170,Chief heading off westward quaffing island's wine (5),RIOJA,wine,18a,2018-12-28,Times Jumbo Cryptic 1354,https://times-xwd-times.livejournal.com/2063509.html,times_xwd_times
3171,"Couturier's accessories causing a sensation (4,3,7)",PINS AND NEEDLES,sensation,19a,2018-12-28,Times Jumbo Cryptic 1354,https://times-xwd-times.livejournal.com/2063509.html,times_xwd_times
